iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,01/03/2021,55733,19,16.571,2444,1,1.571,1399.081,0.477,0.416,61.352,0.025,0.039,0.93,,,,,,,,,,,,,,,,,,,,,,,1580,,,,,40,1580,0.004,12.04,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
ALB,Europe,Albania,01/03/2021,107931,764,949.429,1816,20,19.286,37568.214,265.93,330.474,632.106,6.962,6.713,0.91,,,,,,,,,2714,447163,155.647,0.945,3679,1.281,0.2581,3.9,tests performed,14295,,,,,1081,0.5,,,,376,5575,0.194,60.19,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,01/03/2021,113255,163,165.857,2987,4,3.286,2538.404,3.653,3.717,66.948,0.09,0.074,0.92,22,0.493,,,,,,,,,,,,,,,,,,,,,22369,,,,,501,18386,0.041,69.44,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,01/03/2021,10889,23,25.286,110,0,0.143,140768.415,297.334,326.883,1422.034,0,1.847,0.96,,,,,,,,,,157356,2034.232,,342,4.421,0.0739,13.5,tests performed,,,,,,80,,,,,1034,17,0.022,55.56,77354,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,01/03/2021,20854,47,43.714,508,0,1.286,614.553,1.385,1.288,14.97,0,0.038,1.07,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,58.33,33933611,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AIA,North America,Anguilla,01/03/2021,18,0,0,,,,1190.083,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,5686,86,0.569,,15125,,,,,,,,,,,,,81.88,,,,,
ATG,North America,Antigua and Barbuda,01/03/2021,769,39,22.143,14,0,0,7789.077,395.025,224.281,141.804,0,0,1.08,,,,,,,,,,,,,,,,,tests performed,,,,,,895,,,,,9065,895,0.907,,98728,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,01/03/2021,2112023,4658,6038.857,52077,112,102.571,46310.38,102.136,132.414,1141.894,2.456,2.249,0.99,3505,76.854,,,,,,,45828,7870594,172.579,1.005,43928,0.963,0.126,7.9,tests performed,1049169,755212,293957,,24166,46705,2.3,1.66,0.64,,1024,42341,0.093,77.31,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,,,,
ARM,Asia,Armenia,01/03/2021,172216,158,244.286,3195,3,4,58021.756,53.232,82.303,1076.436,1.011,1.348,1.33,,,,,,,,,2951,736590,248.167,0.994,3770,1.27,0.068,14.7,tests performed,,,,,,,,,,,,,,,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
ABW,North America,Aruba,01/03/2021,7908,17,30.857,74,1,0.429,73772.098,158.589,287.86,690.331,9.329,3.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,
