iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
SLV,North America,El Salvador,01/03/2022,156364,,,4074,3,3.714,23987.727,,,624.99,0.46,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6518500,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,,,,
GNQ,Africa,Equatorial Guinea,01/03/2022,15884,0,1.429,182,0,0,10955.306,0,0.985,125.527,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449891,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,,,,
ERI,Africa,Eritrea,01/03/2022,9704,3,2.143,103,0,0,2694.461,0.833,0.595,28.599,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601462,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,,,,
EST,Europe,Estonia,01/03/2022,499083,4653,4442,2250,14,9.857,376612.979,3511.2,3351.977,1697.872,10.565,7.438,,,,,,,,,,8600,3132237,2363.617,6.49,7480,5.644,0.5939,1.7,tests performed,1955250,857473,839340,443839,1045,803,147.55,64.71,63.34,33.49,606,78,0.006,,1325188,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,,,,
SWZ,Africa,Eswatini,01/03/2022,69191,31,24.286,1390,0,0,59018.108,26.442,20.715,1185.634,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172369,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,,,,
ETH,Africa,Ethiopia,01/03/2022,468770,43,49.143,7463,1,3.143,3976.799,0.365,0.417,63.312,0.008,0.027,,,,,,,,,,,,,,5616,0.048,0.0088,114.3,tests performed,24450750,20020958,,,171774,513926,20.74,16.98,,,4360,405644,0.344,,117876226,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
OWID_EUR,,Europe,01/03/2022,158395048,709783,668584.714,1714691,3254,2709.857,211485.817,947.688,892.681,2289.42,4.345,3.618,,,,,,,,,,,,,,,,,,,1241316497,507310440,483648921,278061233,2292517,647567,165.74,67.74,64.58,37.13,865,129902,0.017,,748962983,,,,,,,,,,,,,,,,,,
OWID_EUN,,European Union,01/03/2022,108969314,472462,459807.714,1012890,2102,1619.714,243675.696,1056.513,1028.216,2265.011,4.7,3.622,,,,,,,,,,,,,,,,,,,850038545,335396797,324184558,217418880,486920,486427,190.08,75,72.49,48.62,1088,60411,0.014,,447189915,,,,,,,,,,,,,,,,,,
FRO,Europe,Faeroe Islands,01/03/2022,34383,146,334.143,28,0,0.571,700935.723,2976.372,6811.874,570.811,0,11.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,49053,35.308,,,,,,,,,,,,80.67,,,,,
FLK,South America,Falkland Islands,01/03/2022,110,0,0.714,,,,31179.138,0,202.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3528,,,,,,,,,,,,,81.44,,,,,
FJI,Oceania,Fiji,01/03/2022,63930,0,40,834,0,1.143,70805.262,0,44.302,923.691,0,1.266,,,,,,,,,,,497559,551.068,,205,0.227,,,tests performed,,,,104572,,,,,,11.58,,,,,902899,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,,,,
FIN,Europe,Finland,01/03/2022,657443,19686,4568.571,2380,14,7.286,118493.191,3548.075,823.409,428.956,2.523,1.313,,31,5.587,693,124.902,,,,,17372,9997682,1801.916,3.131,14510,2.615,0.269,3.7,tests performed,11444253,,4222852,2764874,1198,2647,206.26,,76.11,49.83,477,,,,5548361,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,,,
FRA,Europe,France,01/03/2022,22835320,79794,54468,138645,209,185.714,338692.415,1183.501,807.867,2056.376,3.1,2.755,,2408,35.715,24437,362.448,940,13.942,7865,116.653,,,,,,,,,,140863579,53958675,52314182,35668253,53385,63007,208.93,80.03,77.59,52.9,935,3128,0.005,,67422000,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,,,,
PYF,Oceania,French Polynesia,01/03/2022,67651,952,725.714,641,2,0.571,239443.748,3369.506,2568.591,2268.753,7.079,2.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,
GAB,Africa,Gabon,01/03/2022,47543,0,5.286,303,0,0,20862.908,0,2.319,132.963,0,0,,,,,,,,,,,,,,749,0.329,0.0071,141.7,tests performed,,,,,,,,,,,,,,,2278829,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,,,,
GMB,Africa,Gambia,01/03/2022,11939,0,2.143,365,0,0,4800.685,0,0.862,146.767,0,0,,,,,,,,,,,,,,121,0.049,0.0177,56.5,tests performed,,,,,,,,,,,,,,13.89,2486937,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,
GEO,Asia,Georgia,01/03/2022,1612319,6847,6650,16199,36,38,405128.383,1720.45,1670.95,4070.333,9.046,9.548,,,,,,,,,,37226,13445347,3378.421,9.354,17695,4.446,0.3758,2.7,tests performed,2822060,1574673,1247387,,1514,2442,70.91,39.57,31.34,,614,1847,0.046,,3979773,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,
DEU,Europe,Germany,01/03/2022,14974722,62096,135435.286,123024,75,159.429,178481.978,740.115,1614.237,1466.309,0.894,1.9,,2288,27.27,,,1525,18.176,7368,87.818,,,,,,,,,,170079454,63470292,62752304,47459768,110723,100354,202.72,75.65,74.79,56.57,1196,8115,0.01,73.15,83900471,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,,,,
GHA,Africa,Ghana,01/03/2022,159891,217,142.429,1442,0,0.143,5038.773,6.838,4.488,45.443,0,0.005,,,,,,,,,,,,,,3978,0.125,0.0358,27.9,tests performed,,,,,,,,,,,,,,,31732128,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,
GIB,Europe,Gibraltar,01/03/2022,15488,60,56.714,101,0,0,459707.34,1780.891,1683.366,2997.833,0,0,,,,,,,,,,,,,,,,,,,113138,41968,40917,30253,,53,335.81,124.57,121.45,89.8,1573,27,0.08,,33691,3457.1,,,,,,,,,,,,79.93,,,,,
GRC,Europe,Greece,01/03/2022,2438872,17208,14608.143,25914,54,61.286,235168.402,1659.283,1408.591,2498.759,5.207,5.909,,,,,,,,,,466528,66001463,6364.196,44.985,291764,28.133,0.0501,20,samples tested,19964060,7860767,7503501,5317244,19185,19449,192.5,75.8,72.35,51.27,1875,2066,0.02,,10370747,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888,,,,
GRL,North America,Greenland,01/03/2022,11747,22,14.571,19,1,0.857,206566.083,386.861,256.232,334.107,17.585,15.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56868,0.137,,,,,,199.941,2.16,,,,,71.7,,,,,
GRD,North America,Grenada,01/03/2022,13690,0,,216,0,0.286,121134.363,0,,1911.251,0,2.528,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,425,12,0.011,,113015,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,,,,
GTM,North America,Guatemala,01/03/2022,780815,3824,2674.143,17010,39,25.286,42784.693,209.536,146.529,932.062,2.137,1.386,,,,,,,,,,,,,,,,,,,,,,,,47666,,,,,2612,11411,0.063,,18249868,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,,,,
GIN,Africa,Guinea,01/03/2022,36397,0,0.571,440,0,0,2696.626,0,0.042,32.599,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13497237,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,,,,
GNB,Africa,Guinea-Bissau,01/03/2022,8022,21,9.857,167,0,0.143,3980.174,10.419,4.891,82.858,0,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GUY,South America,Guyana,01/03/2022,62946,25,28.571,1220,0,0.714,79645.312,31.632,36.151,1543.661,0,0.904,,,,,,,,,,,,,,,,,,,811293,432381,328273,50639,,1050,102.65,54.71,41.54,6.41,1329,247,0.031,,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,
HTI,North America,Haiti,01/03/2022,30342,0,7.857,820,0,0.143,2628.906,0,0.681,71.047,0,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11541683,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,,,,
OWID_HIC,,High income,01/03/2022,235537731,1056907,951251.857,2206955,4564,4103.857,193869.348,869.932,782.968,1816.528,3.757,3.378,,,,,,,,,,,,,,,,,,,2307954863,955485240,889280018,500155406,2956586,2641905,189.97,78.65,73.2,41.17,2175,214794,0.018,,1214930230,,,,,,,,,,,,,,,,,,
HND,North America,Honduras,01/03/2022,412733,1521,611,10778,58,15.286,41014.931,151.148,60.718,1071.053,5.764,1.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10062994,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634,,,,
HKG,Asia,Hong Kong,01/03/2022,238377,32597,24543.286,990,246,93.429,31561.408,4315.883,3249.561,131.077,32.571,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7552800,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,,,,
HUN,Europe,Hungary,01/03/2022,1789581,2037,3814.714,44051,102,88.714,185753.675,211.435,395.957,4572.375,10.587,9.208,,,,,,,,,,4832,10338983,1073.159,0.502,17253,1.791,0.2211,4.5,tests performed,,6395085,6170630,3811803,,,,66.38,64.05,39.57,,712,0.007,,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,
ISL,Europe,Iceland,01/03/2022,133211,3367,3016.714,65,3,,361209.028,9129.808,8179.988,176.251,8.135,,,,,,,,,,,,,,,,,,,,803609,309518,289482,249605,,313,217.9,83.93,78.49,67.68,849,21,0.006,,368792,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,,,,
IND,Asia,India,01/03/2022,42938599,7554,10224,514246,223,232,30815.502,5.421,7.337,369.056,0.16,0.166,,,,,,,,,,901647,768382993,551.441,0.647,1021773,0.733,0.01,99.9,samples tested,1776674379,965923463,791803734,18947182,1495732,2450184,127.51,69.32,56.82,1.36,1758,343712,0.025,,1393409033,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,
IDN,Asia,Indonesia,01/03/2022,5589176,24728,42823.143,148660,325,266,20224.127,89.477,154.953,537.918,1.176,0.963,,,,,,,,,,202005,56449320,204.259,0.731,242966,0.879,0.1763,5.7,people tested,,190976834,144505806,,,1207982,,69.1,52.29,,4371,155854,0.056,,276361788,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,
OWID_INT,,International,01/03/2022,721,0,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Asia,Iran,01/03/2022,7060741,9312,11015.143,137064,226,223.571,83039.445,109.516,129.546,1611.972,2.658,2.629,,,,,,,,,,83461,47335696,556.702,0.982,79262,0.932,0.139,7.2,tests performed,141724717,62903145,55529712,23291860,197887,236720,166.68,73.98,65.31,27.39,2784,77185,0.091,,85028760,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,
IRQ,Asia,Iraq,01/03/2022,2303816,1023,1269.571,24999,10,14.571,55945.904,24.843,30.83,607.076,0.243,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41179351,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,,,,
IRL,Europe,Ireland,01/03/2022,1303720,3298,3380.286,6508,11,8,261638.595,661.863,678.377,1306.066,2.208,1.605,,,,,,,,,,10505,11390753,2285.967,2.108,12173,2.443,0.2777,3.6,tests performed,10611106,4054475,3973599,2822359,2879,4692,212.95,81.37,79.74,56.64,942,569,0.011,,4982904,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955,,,,
IMN,Europe,Isle of Man,01/03/2022,22969,125,71.143,80,0,0.143,268926.355,1463.529,832.957,936.658,0,1.673,,,,,,,,,,,,,,,,,,,187515,69403,66648,51464,137,89,219.55,81.26,78.03,60.26,1042,6,0.007,,85410,147.872,,,,,,,,,,,,81.4,,,,,
ISR,Asia,Israel,01/03/2022,3642695,8192,9397,10218,20,25.714,392067.054,881.713,1011.409,1099.774,2.153,2.768,,252,27.123,1448,155.85,77,8.288,868,93.424,80402,48894931,5262.612,8.654,69289,7.458,0.1356,7.4,tests performed,18014753,6699465,6121471,5193817,1501,1553,193.89,72.11,65.89,55.9,167,89,0.001,,9291000,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,,,,
ITA,Europe,Italy,01/03/2022,12829972,47136,39339.429,155000,233,212.571,212531.216,780.818,651.666,2567.608,3.86,3.521,,708,11.728,11164,184.934,378,6.262,,,530858,187867237,3112.061,8.794,412189,6.828,0.0954,10.5,tests performed,134243362,50639966,47512867,37597755,83629,108109,222.38,83.89,78.71,62.28,1791,5587,0.009,,60367471,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
JAM,North America,Jamaica,01/03/2022,128053,67,49.571,2814,1,2.714,43065.289,22.533,16.671,946.372,0.336,0.913,,,,,,,,,,3443,856003,287.881,1.158,2154,0.724,0.023,43.5,samples tested,,,,,,1734,,,,,583,703,0.024,,2973462,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,,,,
JPN,Asia,Japan,01/03/2022,5071249,65368,65592.143,23905,238,223.714,40231.789,518.585,520.363,189.646,1.888,1.775,,,,,,,,,,168484,37629310,298.525,1.337,161137,1.278,0.4071,2.5,people tested,,,,,,985076,,,,,7815,12819,0.01,,126050796,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,
JOR,Asia,Jordan,01/03/2022,1638228,6520,6707.143,13849,14,16.857,159531.063,634.919,653.143,1348.619,1.363,1.642,,,,,,,,,,,16319298,1589.177,,36796,3.583,0.1823,5.5,tests performed,,,,,,,,,,,,,,,10269022,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,,,,
KAZ,Asia,Kazakhstan,01/03/2022,1390966,296,409.286,18947,10,10.714,73228.169,15.583,21.547,997.475,0.526,0.564,,,,,,,,,,,,,,,,,,,20890962,9385399,8991492,2514071,6648,23113,109.98,49.41,47.34,13.24,1217,4290,0.023,,18994958,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,,,,
KEN,Africa,Kenya,01/03/2022,322978,32,34.571,5639,0,0.143,5873.854,0.582,0.629,102.554,0,0.003,,,,,,,,,,,,,,4652,0.085,0.0074,134.6,tests performed,16691191,8799225,7637631,254335,73793,66995,30.36,16,13.89,0.46,1218,31716,0.058,,54985702,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,,,,
KIR,Oceania,Kiribati,01/03/2022,2940,26,11.286,11,0,0,24219.857,214.189,92.972,90.619,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121388,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,,,,
OWID_KOS,Europe,Kosovo,01/03/2022,226309,61,128.857,3115,1,1.857,126988.999,34.229,72.306,1747.923,0.561,1.042,,,,,,,,,,,1766730,991.367,,1770,0.993,0.0728,13.7,tests performed,,,,,,753,,,,,423,198,0.011,,1782115,168.155,,,,9795.834,0.6,,,,,,,,,,,,
KWT,Asia,Kuwait,01/03/2022,620452,558,722.143,2539,1,1.143,143339.356,128.911,166.832,586.57,0.231,0.264,,,,,,,,,,17936,7663298,1770.406,4.144,22500,5.198,0.0321,31.2,tests performed,,,,,,,,,,,,,,,4328553,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49,0.806,,,,
KGZ,Asia,Kyrgyzstan,01/03/2022,200527,0,22.714,2958,0,1.571,30252.942,0,3.427,446.265,0,0.237,,,,,,,,,,,,,,,,,,,2748966,1445480,1167948,,9893,8585,41.47,21.81,17.62,,1295,3137,0.047,,6628347,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,,,,
LAO,Asia,Laos,01/03/2022,142967,224,218,623,2,1.429,19373.908,30.355,29.542,84.425,0.271,0.194,,,,,,,,,,,,,,1131,0.153,0.1927,5.2,tests performed,,,,,,19703,,,,,2670,13595,0.184,,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,,,,
LVA,Europe,Latvia,01/03/2022,662644,9524,8720.571,5256,17,18,354937.025,5101.412,4671.066,2815.311,9.106,9.641,,,,,,,,,,19333,6678819,3577.426,10.355,18800,10.07,0.4639,2.2,tests performed,2854566,1342228,1299036,498482,1158,1325,152.9,71.89,69.58,26.7,710,79,0.004,,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,
LBN,Asia,Lebanon,01/03/2022,1070696,1986,2492,10104,13,13.857,158172.864,293.39,368.141,1492.654,1.92,2.047,,,,,,,,,,,,,,,,,,,5184681,2494296,2159931,530454,8553,7796,76.59,36.85,31.91,7.84,1152,1642,0.024,,6769151,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,,,,
LSO,Africa,Lesotho,01/03/2022,32612,0,1.857,696,0,0,15104.673,0,0.86,322.361,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159067,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,,,,
LBR,Africa,Liberia,01/03/2022,7384,0,3.429,294,0,0.571,1425.425,0,0.662,56.754,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180208,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,,,,
LBY,Africa,Libya,01/03/2022,495115,669,935.429,6269,8,8.429,71152.159,96.141,134.429,900.908,1.15,1.211,,,,,,,,,,3422,,,0.492,,,,,samples tested,,,,,,6766,,,,,972,3238,0.047,,6958538,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,,,,
LIE,Europe,Liechtenstein,01/03/2022,12052,51,98.571,78,0,0.286,315052.021,1333.194,2576.761,2039.002,0,7.469,,,,,,,,,,,,,,,,,,,70228,26707,26354,18166,0,0,183.58,69.81,68.89,47.49,0,0,0,,38254,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LTU,Europe,Lithuania,01/03/2022,907144,4590,5098,8397,,,337245.554,1706.407,1895.265,3121.721,,,,,,,,,,,,,,,,,,,,,4451479,1946347,1870284,909725,615,676,165.49,72.36,69.53,33.82,251,79,0.003,,2689862,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93,0.882,,,,
OWID_LIC,,Low income,01/03/2022,1804283,557,557.429,41744,17,20.571,2712.6,0.837,0.838,62.759,0.026,0.031,,,,,,,,,,,,,,,,,,,118364361,86596535,42096108,1483157,931964,938469,17.8,13.02,6.33,0.22,1411,656701,0.099,,665149040,,,,,,,,,,,,,,,,,,
OWID_LMC,,Lower middle income,01/03/2022,82370236,168663,185253.857,1277071,967,1223.571,24730.96,50.64,55.621,383.43,0.29,0.367,,,,,,,,,,,,,,,,,,,3523447857,1906019333,1553677430,130683191,10668576,11503222,105.79,57.23,46.65,3.92,3454,5022309,0.151,,3330652550,,,,,,,,,,,,,,,,,,
LUX,Europe,Luxembourg,01/03/2022,183802,625,642.429,992,1,0.857,289536.778,984.54,1011.995,1562.662,1.575,1.35,,,,,,,,,,3781,4076011,6420.796,5.956,2444,3.85,0.262,3.8,tests performed,,,,,,,,,,,,,,,634814,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,
MAC,Asia,Macao,01/03/2022,81,0,0.143,,,,123.027,0,0.217,,,,,,,,,,,,,,,,,,,,,,1115323,529598,492281,115899,4597,4166,169.4,80.44,74.77,17.6,6328,1508,0.229,,658391,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,,,,
MDG,Africa,Madagascar,01/03/2022,63659,,,1366,,,2239.359,,,48.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,
MWI,Africa,Malawi,01/03/2022,85347,8,15.571,2615,0,0.857,4343.871,0.407,0.793,133.095,0,0.044,,,,,,,,,,,,,,543,0.028,0.0287,34.9,tests performed,1938721,1525864,813482,,1900,3175,9.87,7.77,4.14,,162,1423,0.007,,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,
MYS,Asia,Malaysia,01/03/2022,3468590,25854,27804.571,32827,78,56.286,105826.5,788.804,848.316,1001.55,2.38,1.717,,374,11.411,6274,191.419,,,11711,357.302,218433,51421477,1568.867,6.664,203985,6.224,0.1363,7.3,people tested,67321002,27032939,25752334,14743268,102764,123318,205.4,82.48,78.57,44.98,3762,43183,0.132,,32776195,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,,,
MDV,Asia,Maldives,01/03/2022,170655,463,590,297,0,0.714,313923.329,851.698,1085.317,546.338,0,1.314,,,,,,,,,,2804,2187583,4024.103,5.158,3264,6.004,0.1808,5.5,samples tested,903380,398229,371132,134019,1352,1583,166.18,73.26,68.27,24.65,2912,16,0.003,,543620,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.74,,,,
MLI,Africa,Mali,01/03/2022,30383,2,4.429,722,0,0,1456.818,0.096,0.212,34.619,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20855724,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434,,,,
MLT,Europe,Malta,01/03/2022,71361,86,76,605,0,0.857,138269.715,166.634,147.258,1172.253,0,1.661,,,,,,,,,,1614,1741089,3373.55,3.127,1598,3.096,0.0476,21,tests performed,1242888,470596,463183,343111,,566,240.82,91.18,89.75,66.48,1097,163,0.032,52.78,516100,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,,,,
MHL,Oceania,Marshall Islands,01/03/2022,7,0,0,,,,117.414,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59618,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,,,,
MRT,Africa,Mauritania,01/03/2022,58638,5,2.857,979,0,0.286,12279.927,1.047,0.598,205.021,0,0.06,,,,,,,,,,,,,,2145,0.449,0.0013,750.8,tests performed,,,,,,,,,,,,,,,4775110,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.546,,,,
MUS,Africa,Mauritius,01/03/2022,70862,0,0,786,0,0,55646.648,0,0,617.232,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,
MEX,North America,Mexico,01/03/2022,5521744,13115,14783.857,318531,382,392.143,42389.451,100.682,113.493,2445.306,2.933,3.01,,,,,,,,,,8538,14501202,111.323,0.066,9776,0.075,0.315,3.2,people tested,182185704,85238025,78945844,,239797,497623,139.86,65.44,60.61,,3820,24442,0.019,,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,,,,
FSM,Oceania,Micronesia (country),01/03/2022,1,0,0,,,,8.602,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116255,150.777,23,4.81,2.392,3299.464,16,454.343,12.02,,,,,67.88,0.62,,,,
MDA,Europe,Moldova,01/03/2022,502386,586,772.857,11228,12,13.143,124846.64,145.625,192.061,2790.241,2.982,3.266,,,,,,,,,,7477,,,1.858,,,,,tests performed,2070811,,1040065,,3806,3876,51.46,,25.85,,963,,,,4024025,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,,,,
MCO,Europe,Monaco,01/03/2022,9445,86,25.429,51,0,0,238992.915,2176.113,643.436,1290.486,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,
MNG,Asia,Mongolia,01/03/2022,908157,0,1207.286,2171,1,1.429,272778.635,0,362.626,652.093,0.3,0.429,,,,,,,,,,,,,,8198,2.462,0.1473,6.8,samples tested,,,,,,810,,,,,243,84,0.003,2.78,3329282,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737,,,,
