iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AZE,Asia,Azerbaijan,01/03/2022,786502,832,1242.571,9438,21,22.571,76931.971,81.382,121.543,923.181,2.054,2.208,,,,,,,,,,8865,6563829,642.043,0.867,8924,0.873,0.1392,7.2,tests performed,,,,,,,,,,,,,,,10223344,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756,,,,
BHS,North America,Bahamas,01/03/2022,33146,11,9.286,771,0,0.143,83509.274,27.714,23.395,1942.486,0,0.36,,,,,,,,,,209,220891,556.521,0.527,330,0.831,0.0281,35.5,tests performed,,,,,,,,,,,,,,,396914,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHR,Asia,Bahrain,01/03/2022,517635,2752,2714,1455,1,1.857,296079.895,1574.105,1552.37,832.239,0.572,1.062,,,,,,,,,,,9397068,5374.99,,11912,6.813,0.2278,4.4,units unclear,,,,,,,,,,,,,,,1748295,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852,,,,
BGD,Asia,Bangladesh,01/03/2022,1944376,799,1077,29045,8,7.857,11691.733,4.804,6.476,174.651,0.048,0.047,,,,,,,,,,23817,13405706,80.61,0.143,23521,0.141,0.0458,21.8,tests performed,,,,,,,,,,,,,,,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,,,,
BRB,North America,Barbados,01/03/2022,55385,220,182.714,316,0,0.714,192504.206,764.664,635.068,1098.336,0,2.483,,,,,,,,,,,587777,2042.964,,,,,,tests performed,309727,160188,149539,,165,105,107.65,55.68,51.98,,365,38,0.013,,287708,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
BLR,Europe,Belarus,01/03/2022,921263,1527,4453.429,6493,13,14.429,97561.789,161.709,471.618,687.609,1.377,1.528,,,,,,,,,,5257,12444066,1317.827,0.557,18089,1.916,0.2462,4.1,tests performed,,,,,,,,,,,,,,,9442867,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823,,,,
BEL,Europe,Belgium,01/03/2022,3563841,6527,6181.857,30199,20,22.714,306373.682,561.108,531.437,2596.126,1.719,1.953,,224,19.257,2184,187.753,,,962,82.701,38884,31793811,2733.227,3.343,35503,3.052,0.189,5.3,tests performed,25040797,9217711,9080760,7169992,6943,23075,215.27,79.24,78.06,61.64,1984,950,0.008,,11632334,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
BLZ,North America,Belize,01/03/2022,56773,79,57,650,0,0.429,140209.674,195.103,140.77,1605.275,0,1.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404915,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
BEN,Africa,Benin,01/03/2022,26567,0,0,163,0,0,2133.719,0,0,13.091,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12451031,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
BMU,North America,Bermuda,01/03/2022,11561,0,19.714,123,0,0,186191.458,0,317.501,1980.932,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,,,
