continent,total_cases,total_deaths,people_vaccinated
Africa,11.241607,0.248781,25.4605391
Asia,117.879815,1.355633,3402.437056
Europe,158.395048,1.714691,507.31044
North America,93.137738,1.379439,422.276039
Oceania,3.642267,0.007869,28.325601
South America,54.231436,1.258278,356.093546
