radius
0.2
0.5
0.7
1.1
1.3
1.5
1.7
2.0
2.3
2.5
2.8
3.0
3.2
3.5
3.7
4.0
4.2
4.6
4.8
5.0
5.3
5.5
5.8
6.0
6.3
6.5
6.8
7.0
7.3
7.5
7.8
8.1
8.3
8.6
8.8
9.1
9.3
9.6
9.8
10.1
10.3
10.6
10.8
11.1
11.3
11.6
11.9
12.1
12.4
12.6
12.9
13.1
13.4
13.6
13.9
14.1
14.4
14.6
14.9
15.2
15.4
15.7
16.0
16.2
16.5
16.7
17.0
17.2
17.5
17.7
18.0
18.2
18.5
18.8
19.0
19.3
19.5
19.8
20.0
20.3
20.5
20.8
21.0
21.3
21.5
21.8
22.0
22.3
22.6
22.8
23.1
23.3
23.6
23.8
24.1
24.3
24.6
24.8
25.1











