iso_code,location,continent,total_cases_per_million2021,total_cases_per_million2022,growth_cases_per_million,total_deathsMar21,total_deathsMar22,growth_deaths,total_cases2021,total_cases2022,dtc_Ratio2022
OWID_KOS,Kosovo,Europe,44363.786,126988.999,1.86244729,1085,3115,1.870967742,192031,226309,1.376436642
KWT,Kuwait,Asia,13021.044,143339.356,10.00828444,1467,2539,0.730743013,86308,620452,0.409217796
KGZ,Kyrgyzstan,Asia,6.098,30252.942,4960.125287,,2958,#DIV/0!,45,200527,1.475113077
LAO,Laos,Asia,46310.153,19373.908,-0.581648802,1621,623,-0.61566934,86458,142967,0.435764897
LVA,Latvia,Europe,55684.679,354937.025,5.374051739,4743,5256,0.108159393,376938,662644,0.793186085
LBN,Lebanon,Asia,4860.896,158172.864,31.53985767,295,10104,33.25084746,10495,1070696,0.943685229
LSO,Lesotho,Africa,388.015,15104.673,37.92806464,85,696,7.188235294,2010,32612,2.134183736
LBR,Liberia,Africa,19275.17,1425.425,-0.926048642,2210,294,-0.866968326,134127,7384,3.981581798
LBY,Libya,Africa,69326.084,71152.159,0.026340374,55,6269,112.9818182,2652,495115,1.266170486
LIE,Liechtenstein,Europe,74129.453,315052.021,3.250024899,3253,78,-0.976022133,199398,12052,0.647195486
LTU,Lithuania,Europe,830.229,337245.554,405.2078704,13432,8397,-0.374851102,552226,907144,0.925652377
OWID_LIC,Low income,,6090.273,2712.6,-0.554601247,385543,41744,-0.891726733,20284582,1804283,2.313606014
OWID_LMC,Lower middle income,,87395.678,24730.96,-0.717023078,639,1277071,1997.546166,55480,82370236,1.550403473
LUX,Luxembourg,Europe,72.905,289536.778,3970.425526,,992,#DIV/0!,48,183802,0.539711211
MAC,Macao,Asia,697.603,123.027,-0.823643247,297,,-1,19831,81,0
MDG,Madagascar,Africa,1629.098,2239.359,0.374600546,1048,1366,0.303435115,32008,63659,2.145808134
MWI,Malawi,Africa,9231.7,4343.871,-0.529461421,1140,2615,1.293859649,302580,85347,3.063962412
MYS,Malaysia,Asia,36751.775,105826.5,1.879493575,62,32827,528.4677419,19979,3468590,0.946407618
MDV,Maldives,Asia,402.288,313923.329,779.3447505,355,297,-0.163380282,8390,170655,0.174035334
MLI,Mali,Africa,43900.407,1456.818,-0.966815387,316,722,1.284810127,22657,30383,2.376328868
MLT,Malta,Europe,67.094,138269.715,2059.835768,,605,#DIV/0!,4,71361,0.847802021
MHL,Marshall Islands,Oceania,3605.571,117.414,-0.967435394,441,,-1,17217,7,0
MRT,Mauritania,Africa,486.09,12279.927,24.26266124,10,979,96.9,619,58638,1.669565811
MUS,Mauritius,Africa,16039.04,55646.648,2.469450042,186152,786,-0.995777644,2089281,70862,1.10919816
MEX,Mexico,North America,8.602,42389.451,4926.859916,,318531,#DIV/0!,1,5521744,5.768666566
FSM,Micronesia (country),Oceania,46333.46,8.602,-0.999814346,3975,,-1,186447,1,0
MDA,Moldova,Europe,49721.66,124846.64,1.510910537,24,11228,466.8333333,1965,502386,2.234934891
MCO,Monaco,Europe,886.678,238992.915,268.5374364,2,51,24.5,2952,9445,0.539968237
MNG,Mongolia,Asia,121459.881,272778.635,1.245833215,1015,2171,1.138916256,76283,908157,0.239055582
