iso_code,continent,total_cases,total_deaths,people_vaccinated
OWID_AFR,Africa,11241607,248781,254605391
OWID_ASI,Asia,117879815,1355633,3402437056
OWID_EUR,Europe,158395048,1714691,507310440
OWID_NAM,North America,93137738,1379439,422276039
OWID_OCE,Oceania,3642267,7869,28325601
OWID_SAM,South America,54231436,1258278,356093546
