location,iso_code,continent,total_deaths
Thailand,THA,Asia,23021
Timor,TLS,Asia,128
Togo,TGO,Africa,272
Tonga,TON,Oceania,0
Trinidad and Tobago,TTO,North America,3632
Tunisia,TUN,Africa,27784
Turkey,TUR,Asia,94648
Turks and Caicos Islands,TCA,North America,36
Uganda,UGA,Africa,3588
Ukraine,UKR,Europe,112459
United Arab Emirates,ARE,Asia,2301
United Kingdom,GBR,Europe,161773
United States,USA,North America,952808
Uruguay,URY,South America,6991
Uzbekistan,UZB,Asia,1636
Vanuatu,VUT,Oceania,1
Vatican,VAT,Europe,0
Venezuela,VEN,South America,5636
Vietnam,VNM,Asia,40338
Wallis and Futuna,WLF,Oceania,7
Yemen,YEM,Asia,2135
Zambia,ZMB,Africa,3953
Zimbabwe,ZWE,Africa,5395
